date,company,ticker,product_category,region,sales_volume,revenue,price,marketing_spend,discount_rate,inventory_level,promotion_flag,holiday_flag,sentiment_score,positive_mentions,negative_mentions,neutral_mentions,news_volume,social_buzz_index,open_price,close_price,high_price,low_price,volume,sector_index,market_return,sales_lag_7,sales_rolling_mean_30,sentiment_lag_1,sentiment_rolling_mean_7,stock_pct_change,volatility_index,marketing_growth_rate
2020-01-01,Amazon,AMZN,Retail,Global,841.7,12625.5,15.0,82841.54,0.024,1668,0,1,0.0015,0,0,53,53,53.08,15.0667,15.0,15.0808,14.9755,2031041,1.000397,0.0,841.7,841.7,0.0015,0.0015,0.0,,0.0
2020-01-02,Amazon,AMZN,Retail,Global,1180.33,17507.73,14.832909708478127,145709.52,0.074,1997,1,0,0.0006,0,0,64,64,64.04,14.8446,14.8329,14.8894,14.7809,1463771,1.000287,-0.000111,1180.33,1011.015,0.0015,0.00105,-0.011139999999999928,0.11815754313627243,0.758894390422969
2020-01-03,Amazon,AMZN,Retail,Global,818.95,12516.36,15.283417934797326,85284.71,0.015,1733,0,0,0.0011,0,0,59,59,59.07,15.2681,15.2834,15.3484,15.1167,1070149,1.000805,0.000518,818.95,946.9933333333333,0.0006,0.0010666666666666667,0.030371673779233888,0.22773823423688255,-0.41469363154857686
2020-01-04,Amazon,AMZN,Retail,Global,849.08,13323.97,15.692237695986872,70567.61,0.012,1910,0,0,0.0046,0,0,73,73,73.34,15.7644,15.6922,15.8119,15.5694,1340566,1.002023,0.001217,849.08,922.515,0.0011,0.00195,0.02674797492704495,0.3759258559432514,-0.1725643435968769
2020-01-05,Amazon,AMZN,Retail,Global,946.77,14738.97,15.56763099980432,85759.24,0.005,2496,0,0,0.0041,0,0,73,73,73.3,15.5547,15.5676,15.5924,15.5315,1365739,1.001836,-0.000187,946.77,927.366,0.0046,0.00238,-0.007940250570346974,0.36428640106377785,0.2152776606718012
2020-01-06,Amazon,AMZN,Retail,Global,855.01,13538.61,15.83444067568358,75942.32,0.017,1859,0,0,0.0034,0,0,54,54,54.19,15.7961,15.8344,15.885,15.5852,1155807,1.001649,-0.000187,855.01,915.3066666666667,0.0041,0.0025499999999999997,0.017138158739947063,0.3978408949148719,-0.11447069726830594
2020-01-07,Amazon,AMZN,Retail,Global,875.77,14325.95,16.35811407087051,77770.02,0.014,2012,0,0,0.0061,0,0,53,53,53.32,16.3414,16.3581,16.4362,16.2719,1141184,1.002912,0.001261,875.77,909.6585714285713,0.0034,0.0030571428571428577,0.033073561360076775,0.5213660358455778,0.024066949758711598
2020-01-08,Amazon,AMZN,Retail,Global,726.01,12110.78,16.681281463475504,82194.94,0.033,2085,0,0,0.0088,0,0,66,66,66.58,16.6627,16.6813,16.726,16.6231,1988838,1.003526,0.000612,841.7,886.7025,0.0061,0.0041,0.019757795832034297,0.6244500551914218,0.056897503691010876
2020-01-09,Amazon,AMZN,Retail,Global,911.6,15032.66,16.490407813123745,82819.48,0.025,1710,0,0,0.0083,0,0,56,56,56.47,16.5262,16.4904,16.7412,16.4223,1890003,1.00315,-0.000374,1180.33,889.468888888889,0.0088,0.005200000000000001,-0.01144395220995964,0.5250907880683906,0.007598277947523213
2020-01-10,Amazon,AMZN,Retail,Global,1122.52,18539.94,16.516357471304918,136746.07,0.07,1801,1,0,0.007,0,0,78,78,78.55,16.5126,16.5164,16.5692,16.3061,1080472,1.003584,0.000433,818.95,912.774,0.0083,0.006042857142857143,0.0015766749138892422,0.4514629790232735,0.6511341293135384
2020-01-11,Amazon,AMZN,Retail,Global,916.98,14747.22,16.082375454863666,89695.88,0.028,1916,0,0,0.0055,0,0,51,51,51.28,16.0856,16.0824,16.1501,15.9395,1768943,1.003214,-0.000369,849.08,913.1563636363636,0.007,0.006171428571428572,-0.026276912644402017,0.40539541954796837,-0.3440697783855873
2020-01-12,Amazon,AMZN,Retail,Global,901.11,14282.25,15.84961416596591,88024.83,0.033,2036,0,0,0.0045,0,0,73,73,73.33,15.8516,15.8496,15.9529,15.7907,1144001,1.002841,-0.000371,946.77,912.1525,0.0055,0.006228571428571429,-0.01447545142516038,0.3383883068169956,-0.01863017565578262
2020-01-13,Amazon,AMZN,Retail,Global,893.43,14157.29,15.845995611331565,74725.77,0.018,2263,0,0,0.0057,0,0,51,51,51.29,15.883,15.846,15.9208,15.7276,1523244,1.003035,0.000193,855.01,910.7123076923077,0.0045,0.006557142857142858,-0.00022713506965477137,0.3359825937951704,-0.15108305236147568
2020-01-14,Amazon,AMZN,Retail,Global,938.28,14917.0,15.898238888375097,82367.11,0.018,1667,0,0,0.0014,0,0,92,92,92.13,15.888,15.8982,15.9451,15.8586,1445317,1.001504,-0.001526,875.77,912.6814285714287,0.0057,0.005885714285714286,0.0032942067398711306,0.35798461326337844,0.10225843106066357
2020-01-15,Amazon,AMZN,Retail,Global,915.97,14410.94,15.732979683176731,85140.69,0.006,2003,0,0,-0.0012,0,0,82,82,82.1,15.7265,15.733,15.8405,15.6979,1801140,1.000124,-0.001378,726.01,912.9006666666667,0.0014,0.004457142857142857,-0.01039111345938526,0.32073275331281026,0.033673392207156594
2020-01-16,Amazon,AMZN,Retail,Global,787.75,11882.1,15.083597373611154,74555.82,0.034,1108,0,0,-0.0022,0,0,74,74,74.16,15.0628,15.0836,15.1269,15.0527,1289725,0.999674,-0.00045,911.6,905.07875,-0.0012,0.0029571428571428565,-0.04127629822665735,0.428368108278933,-0.12432210732612092
2020-01-17,Amazon,AMZN,Retail,Global,845.0,12782.64,15.12738488324699,70387.46,0.03,1979,0,0,-0.0028,0,0,54,54,54.15,15.1147,15.1274,15.1546,15.0696,1585424,0.998864,-0.000811,1122.52,901.5447058823529,-0.0022,0.001557142857142857,0.002903816065130238,0.3930508606371615,-0.05590925027717486
2020-01-18,Amazon,AMZN,Retail,Global,929.02,14207.14,15.292609517881502,90487.7,0.014,2102,0,0,-0.0033,0,0,53,53,53.17,15.3087,15.2926,15.3276,15.2874,1329124,0.999115,0.000252,916.98,903.0711111111111,-0.0028,0.0003,0.010920581197033208,0.3638745204966407,0.2855656391067385
2020-01-19,Amazon,AMZN,Retail,Global,966.13,14944.43,15.468339989222743,90125.32,0.03,2046,0,0,-0.0046,0,0,66,66,66.3,15.4909,15.4683,15.5833,15.4017,1259758,0.998389,-0.000727,901.11,906.39,-0.0033,-0.0009999999999999998,0.011489217006918295,0.33873231670589904,-0.004004743186090343
2020-01-20,Amazon,AMZN,Retail,Global,873.19,13465.08,15.420560238790474,76727.3,0.0,2593,0,0,-0.0053,0,0,77,77,77.41,15.473,15.4206,15.545,15.3573,1402906,0.997259,-0.001132,893.43,904.7299999999999,-0.0046,-0.0025714285714285713,-0.003083726072031112,0.3008286215169729,-0.14865988825337872
2020-01-21,Amazon,AMZN,Retail,Global,876.09,13482.4,15.389286561631284,75021.41,0.015,1804,0,0,-0.0021,0,0,91,91,91.19,15.3861,15.3893,15.4429,15.3854,1571226,0.998432,0.001176,938.28,903.3661904761905,-0.0053,-0.0030714285714285713,-0.002029752409115071,0.22001036231005533,-0.02223315560432859
2020-01-22,Amazon,AMZN,Retail,Global,802.58,12396.79,15.446178985545322,73246.91,0.021,1894,0,0,-0.0018,0,0,65,65,65.12,15.438,15.4462,15.4919,15.4204,1288323,0.998251,-0.000181,915.97,898.785,-0.0021,-0.003157142857142857,0.0036973741495713863,0.15628610973221538,-0.023653247786198595
2020-01-23,Amazon,AMZN,Retail,Global,888.86,13813.69,15.540907456761534,84430.06,0.023,1934,0,0,-0.002,0,0,64,64,64.13,15.5533,15.5409,15.6411,15.531,1190062,0.998305,5.4e-05,787.75,898.3534782608696,-0.0018,-0.003128571428571429,0.006130957776022683,0.13611090366032538,0.15267743035166936
2020-01-24,Amazon,AMZN,Retail,Global,869.2,13489.21,15.51910552589401,85861.13,0.029,2153,0,0,-0.0042,0,0,70,70,70.29,15.5046,15.5191,15.5799,15.4291,1645941,0.997165,-0.001142,845.0,897.1387500000001,-0.002,-0.0033285714285714286,-0.0014027501624745975,0.08361546336819639,0.016949768838255164
2020-01-25,Amazon,AMZN,Retail,Global,862.77,12922.85,14.978326137681792,78828.45,0.011,2530,0,0,-0.0051,0,0,77,77,77.4,14.9591,14.9783,15.0542,14.9548,1218857,0.99673,-0.000437,929.02,895.7639999999999,-0.0042,-0.003585714285714286,-0.03484738161362444,0.19105319254318806,-0.08190761058001461
2020-01-26,Amazon,AMZN,Retail,Global,876.13,13397.95,15.292188589275588,75099.0,0.026,2323,0,0,-0.0041,0,0,76,76,76.31,15.3021,15.2922,15.3144,15.236,1247344,0.996819,8.9e-05,966.13,895.0088461538461,-0.0051,-0.003514285714285714,0.02095698443748617,0.1913360867563411,-0.04731096450583505
